fid,codigo,clasificacion_tipo,fecha_inicio,fecha_radicacion,resolucion
1,683070000000000170053000000000,Mutacion_Primera_Clase,12/10/1995,13/10/1995,199510-0001
2,683070000000000170064000000000,Mutacion_Primera_Clase,02/03/1994,03/03/1994,19943-0001
3,683070000000000170073000000000,Mutacion_Primera_Clase,05/07/1980,06/07/1980,19807-0002
4,683070000000000170050000000000,Mutacion_Primera_Clase,05/07/1992,06/07/1992,19927-0002
5,683070000000000170261000000000,Mutacion_Primera_Clase,28/10/2002,29/10/2002,200210-0001
6,683070000000000170251000000000,Mutacion_Primera_Clase,03/08/2005,04/08/2005,20058-0001
7,683070000000000170260000000000,Mutacion_Primera_Clase,07/04/1994,08/04/1994,19944-0002
8,683070000000000170240000000000,Mutacion_Primera_Clase,04/08/1987,05/08/1987,19878-0002
9,683070000000000170250000000000,Mutacion_Primera_Clase,01/01/2006,02/01/2006,20061-0001
10,683070000000000170259000000000,Mutacion_Primera_Clase,25/04/1997,26/04/1997,19974-0001
11,683070000000000170239000000000,Mutacion_Primera_Clase,18/04/1995,19/04/1995,19954-0002
12,683070000000000170061000000000,Mutacion_Primera_Clase,28/10/2019,29/10/2019,201910-0002
13,683070000000000170249000000000,Mutacion_Primera_Clase,15/07/1985,16/07/1985,19857-0001
14,683070000000000170258000000000,Mutacion_Primera_Clase,28/09/2019,29/09/2019,20199-0001
15,683070000000000170238000000000,Mutacion_Primera_Clase,29/06/2012,30/06/2012,20126-0002
16,683070000000000170248000000000,Mutacion_Primera_Clase,04/11/2017,05/11/2017,201711-0002
17,683070000000000170227000000000,Mutacion_Primera_Clase,13/01/1984,14/01/1984,19841-0001
18,683070000000000170257000000000,Mutacion_Primera_Clase,12/02/2012,13/02/2012,20122-0001
19,683070000000000170237000000000,Mutacion_Primera_Clase,05/02/1991,06/02/1991,19912-0002
20,683070000000000170247000000000,Mutacion_Primera_Clase,01/12/1986,02/12/1986,198612-0002
21,683070000000000170226000000000,Mutacion_Primera_Clase,08/12/2020,09/12/2020,202012-0001
22,683070000000000170063000000000,Mutacion_Primera_Clase,01/06/1995,02/06/1995,19956-0001
23,683070000000000170256000000000,Mutacion_Primera_Clase,03/12/1993,04/12/1993,199312-0002
24,683070000000000170236000000000,Mutacion_Primera_Clase,09/12/2016,10/12/2016,201612-0002
25,683070000000000170246000000000,Mutacion_Primera_Clase,11/05/1991,12/05/1991,19915-0001
26,683070000000000170225000000000,Mutacion_Primera_Clase,03/05/2008,04/05/2008,20085-0001
27,683070000000000170255000000000,Mutacion_Primera_Clase,20/05/2002,21/05/2002,20025-0002
28,683070000000000170235000000000,Mutacion_Primera_Clase,27/01/2020,28/01/2020,20201-0002
29,683070000000000170049000000000,Mutacion_Primera_Clase,03/05/2011,04/05/2011,20115-0001
30,683070000000000120082000000000,Mutacion_Primera_Clase,04/04/1997,05/04/1997,19974-0001
31,683070000000000170224000000000,Mutacion_Tercera_Clase,10/08/2017,11/08/2017,20178-0002
